timestamp,direction,payload_len,payload_len_crc,payload_crc,raw_payload_bytes,whitened_payload_bytes,packet_bytes,message
2026-02-25T16:42:49.654970,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:42:54.637305,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:43:04.628833,RX,0,40,,,,,Length CRC Failed: got 0x40 expected 0x1c
2026-02-25T16:43:14.646519,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:43:19.635226,RX,0,40,,,,,Length CRC Failed: got 0x40 expected 0xfc
2026-02-25T16:43:24.653930,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:43:29.652682,RX,44,c4,e8 c4,ff 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 b0 00 01 01 ee 8b,00 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 2a 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 13 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 00 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 2a 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 13 2c fd 45 53 9a e7 f0 b3 3b,Payload CRC Failed: got 0xe8c4 expected 0x5933
2026-02-25T16:43:54.662405,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:43:59.666128,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:44:04.673492,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
